es,guh
Su mano. Ya me voy (regreso a mi casa).,Necobeyo. Nawiatajë rabaja.
Bien.,Je.
Su mano. Me voy ya (regreso a mi casa).,Necobeyo. Nawiatajë rabaja.
Ya me voy (regreso a mi casa).,Nawiatajë baja.
Bueno. Con cuidado (en el camino).,Je. Xania baja.
Bueno.,Je.
Ya me voy (pronunciación rápida).,Nawiatajëbaja.
Con cuidado (pronunciación rápida).,Xaniabaja.
me voy (despedida general),ponajë
regreso (me voy a mi propio hogar),nawiatajë
decir,jumaisi
ser (un estado); hacer,itsi
decir (forma alternativa usada en diálogo),jai
llorar,aëaëjai
relampaguear,binebinejai
tronar,jurujurujai
soplar (el viento),bubujai
ladrar,jojojai
decir (se usa antes de la cita),jumaitsi
hacer; ser (en un sentido limitado),itsi
decir (se usa después de la cita y es obligatorio),jai
reír,jëjëajai
temblar (de miedo; de frío),neconecojai
gritar (desde lejos),wawajai
silbar,copicopijai
hablar,cuaicuaijai
gritar (una vez),aëjai
estar casi hirviendo,sëbia
brillar (como barniz),binenebia
viento,jowibo
rayo,yamaxë
desear; querer; gustar,jitsipa
¿Qué dice? / ¿Qué dijo?,¿Detsa jumaitsi?
negro,tsaebia
rojo; castaño; maduro,tsobia
negro brillante,tsaejai
rojo brillante,tsaujai
blanco brillante,niojai
amarillo brillante,wayajai
amarillo,wayana
verde; azul,raëna
color oscuro (por ejemplo gris),tsëcëna
gris claro,purana
morado,pabana
color de canela,tsauna
"querer; desear; estimar (amor hacia algo que todavía no se tiene, como novios)",jitsipa
"amar; mezquinar (amor hacia lo que ya se posee, como hijos o padres)",asiwa
Yo digo.,Janë
Yo lloro.,Aëaëjanë
Yo soy (estoy) negro.,Tsaebianë
Yo soy; yo hago.,Itsinë
Roberto dijo: -¿Quién llegó? -dijo.,Roberto jumaitsi: -¿Jipatsa pata? -jai.
-José llegó -decimos (nosotros).,-José pata -pajanë.
Roberto hizo una pregunta. Dijo: -¿Quién vino? -dijo.,Roberto yanijoba. Jumaitsi: -¿Jipatsa pata? -jai.
preguntar; hacer una pregunta,yanijoba
Dígales que Roberto se va mañana. (Orden para el futuro: la persona respondería 'Bien').,"""Roberto merawia ponaena"" -jamë tsane."
"Dígales/diga (ya): ""Roberto se va mañana"". (Orden inmediata: la persona repite el mensaje al instante).","""Roberto merawia ponaena"" -jamëre."
negro (atributo temporal),tsaebia
cosa negra (atributo permanente),petsaebiajawa
amarillo (atributo temporal),wayana
cosa amarilla (atributo permanente),pewayanaejawa
comer,xane
comida,pexaejawa
doler (temporalmente),atane
cosa que duele; dolor,piatanejawa
Aprendí/estoy aprendiendo a leer.,Nacujarubajë tayorobijawa.
Usted aprendió a leer.,Nacujarubame neyorobijawa.
Él/ella aprendió a leer.,Nacujaruba peyorobijawa.
Aprendimos a leer (exclusivo).,Panacujarubajë patayorobijawa.
Aprendimos a leer (inclusivo).,Nacujarubatsi wajayorobijawa.
Ustedes aprendieron a leer.,Panacujarubame paneyorobijawa.
Ellos/ellas aprendieron a leer.,Nacujaruba peyorobijawa.
