Archivo,Realidad,Predicción
audio_168.wav,no,a
audio_367.wav,ka-tarërëta,atarëreba
audio_341.wav,tsabána,tsbato
audio_252.wav,íbo,íboto
audio_166.wav,papáë-nae,apaenne
audio_295.wav,pe-raënáe-hava,perunenava
audio_330.wav,ayái-hava,anahva
audio_245.wav,p-ënë,péne
audio_299.wav,pe-matá-to-yorokáe-hava,penatatayurokáhava
audio_202.wav,pó-në,bone
audio_80.wav,bu,ma
audio_135.wav,se-se-kué-to,tssikába
audio_180.wav,yaláki,iahbi
audio_137.wav,vakará,hunána
audio_185.wav,káe-kobe,maebóni
audio_41.wav,hívi,xéni
audio_320.wav,ta,ta
audio_83.wav,pábi,mábi
audio_60.wav,íso,íbo
audio_129.wav,máha,bána
audio_251.wav,bó-to-xi,botokbi
audio_47.wav,perúhu-në,perune
audio_198.wav,pe-horóbi-né,peahorobine
audio_293.wav,ibo-tsú-to,ibatsuto
audio_88.wav,si-pá-li,isikábi
audio_27.wav,pe-máta-baka,penatabane
audio_257.wav,bahará-xua,maraxuva
audio_10.wav,pe-mata-na,penatana
audio_101.wav,avíri,avbi
audio_213.wav,pe-kóbe,pekóbe
audio_315.wav,pe-kóro-fe-to,pekorouto
audio_190.wav,aniha-kobé-behe,anihaxbenene
audio_23.wav,pe-kobe-sí-to,pekobetsíto
audio_130.wav,tikuéku,ibáto
audio_303.wav,détsa pa-kuí hinae,petsatakuinne
